GOE 440 AIRFOIL   /tracfoil
1.00000  0.00130
0.94996  0.02180
0.89992  0.04071
0.79985  0.07752
0.69979  0.10793
0.59975  0.13354
0.49971  0.15345
0.39968  0.16586
0.29968  0.16997
0.19970  0.15808
0.14973  0.14218
0.09978  0.11409
0.07483  0.09144
0.04990  0.05489
0.02497  0.01475
 0.012490 0.005220  
 0.010129 0.004325  
 0.007678 0.003494  
 0.005306 0.002718  
 0.003184 0.001989  
 0.001479 0.001299  
 0.000361 0.000638
 0.000000 0.000000  
 0.000614 -0.000689  
 0.002135 -0.001341  
 0.004324 -0.001936  
 0.006942 -0.002454  
 0.009750 -0.002876  
 0.012510 -0.003180  
0.02501 -0.00315
0.05001 -0.00260
0.07500 -0.00096
0.10000  0.00119
0.14999  0.00338
0.19999  0.00768
0.29997  0.01747
0.39995  0.02816
0.49993  0.03465
0.59992  0.03964
0.69992  0.03983
0.79993  0.03472
0.89996  0.02221
0.94998  0.01230
1.00000 -0.00130
